Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
FlyBase/flybase-omicsintegrator1-params-UVR5GTQ/pathway.txt	37	36	1	34
FlyBase/flybase-omicsintegrator1-params-V7IZFAY/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-VIWP75W/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-W6TZKDI/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-WJROPDC/pathway.txt	46	45	1	34
FlyBase/flybase-omicsintegrator1-params-WTZSQ7Q/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator1-params-X2KVCJ7/pathway.txt	43	42	1	34
FlyBase/flybase-omicsintegrator1-params-XHN6O2D/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-XPBSPFQ/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-YAQZK5N/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-YXGDNIV/pathway.txt	45	44	1	34
FlyBase/flybase-omicsintegrator1-params-YZEVSQT/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator1-params-YZY2SCM/pathway.txt	11	10	1	11
FlyBase/flybase-omicsintegrator1-params-Z7IIWJP/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator2-params-EHHWPMD/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator2-params-IV3IPCJ/pathway.txt	35	34	1	34
